path,sha256,size_bytes
00_START_HERE/00_最初に読む_gap_supplement.md,48eec745e4bc051ccf11c4c26075802779c334175734915fecf9885f86152972,1880
00_START_HERE/00_最初に読む_gap_supplement_v2.md,17f9e65acbe5722a7e861a308c5431fabd586830e1cca8ab66acce4b28e53a32,1304
01_SOURCE_REGISTERS/pmda_product_source_register_PROPOSED_WITH_GAP_SUPPLEMENT.csv,682b7c1359aefd28f6de1d8ff8045521ad2ea86eb9edeebe24a5d820924a95f0,66992
01_SOURCE_REGISTERS/pmda_product_source_register_chronic_historical_supplement.csv,a4b1874a760f98a1d7ee2d925d7e96bb202c136405abd9eadffd08e2c1550eac,15434
01_SOURCE_REGISTERS/pmda_product_source_register_gap_supplement.csv,d1a160502601982ca5efd53b3efe235f9f0841b1d9d859884a9af7cddedda87f,23353
02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/alteplase.md,833a78a244070d0a6db575d4809757ec4c0a4426301237b5ff04b2b3ba788708,4595
02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/argatroban.md,a075114e4394ccad238805118e709fc8bdf79c95679ae67022196aa5878cdf01,4137
02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/edaravone.md,b9198b640d2f7e6f1e45afbaaf5ba75d1c8b9be365924109661eb83b215e6466,4023
02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/ozagrel.md,0829817bbe28a0b62f3244e7c233739c3f8bf649dcf0412a755a08a27d08f8c0,4610
02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/urokinase.md,655aec8a80321331e07f14d26e3af2e90dc4cfe5a01ca2ce5e2e162c3c2e13eb,3905
02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/ampicillin.md,c5da65943a1c71df27b12d5fbef3294710c1c9c67ca4ff113412b69ebb684a1d,4021
02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/cefotaxime.md,d617f32df084d46cc0c5b76af17e47abd7cc102179b91185fc4ab6fa44b4d532,4063
02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/levofloxacin.md,f6badd090a6d926ecbd59ad397ee6c698bbd627db40d82a48ceabe58e6a29e8f,3754
02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/metronidazole.md,066ad4ec9ebed944c7ed99f0243d1dd023f692ee033584f75d814f6c20d8abd8,3752
02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/sulbactam_ampicillin.md,2910ea9d7083491dc29b3a387d2740c2cd0c85ebed4f566d7e9565bb0392bb48,3872
02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/amantadine.md,20434b9014ee342788e9760813ff34ba65eefeb3e5d8cc888e1218dff18f1381,2472
02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/ibudilast.md,31ab818494a79cf14fd16edf032b262dcf7cba557a36154e7bf024b27df14fda,2440
02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/ifenprodil.md,c9bf0c6311c1565be2b49b1880d01aafbd843b3a8daa8ca0e0c739f958b57b6e,2507
02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/nicergoline.md,fb2ea78d2eb09d6bc2a32866266a5a0a8cac6d1c412d521930dc76c94b980d6b,2449
02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/tiapride.md,f4f94aa1efce1b5d2fc414758c709a0ebf35e48671e9b7a5447a502b8c84fe85,2504
02_DRUG_PROFILES_SAFE_KNOWLEDGE/consciousness_recovery_neurorehab/citicoline.md,a3daaab03e0ddf7c99c73bc7b49b0bd29a5fdb7c0db96597470a321639c35785,2506
02_DRUG_PROFILES_SAFE_KNOWLEDGE/consciousness_recovery_neurorehab/meclofenoxate_injection.md,64090017565e9e5ca53b502c1f3f5cfa1a3e33aa268401f83dbe52bd56ce0912,2645
02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/fludrocortisone.md,7e74dd5a97198267d14bad038e204e146101ca62a2141a27f0de816ffcdd7507,3770
